,Name1,Name2,Co-mentions,Average Sentiment
0,Steve Lee,Cheng Lu,6,0.1465895172194384
1,Steve Lee,Grayson Brulte,6,0.1465895172194384
2,Cheng Lu,Grayson Brulte,6,0.1465895172194384
4,Callie Cox,Mychal Campos,14,0.0929191468253968
5,Callie Cox,Sen Sharma,14,0.0929191468253968
6,Callie Cox,Rahul Sen Sharma,14,0.0929191468253968
7,Callie Cox,Eric Winograd,14,0.0929191468253968
8,Mychal Campos,Sen Sharma,14,0.0929191468253968
9,Mychal Campos,Rahul Sen Sharma,14,0.0929191468253968
10,Mychal Campos,Eric Winograd,14,0.0929191468253968
11,Sen Sharma,Rahul Sen Sharma,14,0.0929191468253968
12,Sen Sharma,Eric Winograd,14,0.0929191468253968
13,Rahul Sen Sharma,Eric Winograd,14,0.0929191468253968
16,Roman Abramovich,Richard Weekes,6,0.0807330074140419
21,Roman Abramovich,Nick Candy,6,0.0936601358411703
57,Roman Abramovich,Amanda Davies,8,0.1659213999407129
98,Rishi Sunak,Boris Johnson,8,0.0664676376410384
119,Vladimir Putin,Donald Trump,35,0.0600961128697108
127,Vladimir Putin,Nick Clegg,6,-0.0436114321621726
159,Vladimir Putin,Sergei B Ivanov,6,0.0653692956528008
160,Vladimir Putin,Sergei S Ivanov,6,0.0653692956528008
161,Vladimir Putin,Paul Zimnisky,6,0.0653692956528008
162,Vladimir Putin,Tiffany Stevens,6,0.0653692956528008
163,Vladimir Putin,Martin Rapaport,6,0.0653692956528008
180,Vladimir Putin,Boris Johnson,15,0.0647385932317017
193,Vladimir Putin,Dmitry Peskov,73,0.0185254236926434
216,Vladimir Putin,Cyril Ramaphosa,6,0.0518725095369489
223,Vladimir Putin,Ivana Kottasová,8,0.0070526757162688
232,Vladimir Putin,Volodymyr Zelensky,26,0.0335848866976608
240,Vladimir Putin,Joe Biden,76,0.0402391697950977
242,Vladimir Putin,Sergey Lavrov,14,0.0098780597951117
249,Vladimir Putin,Fumio Kishida,6,0.0295393667968294
251,Vladimir Putin,Wang Wenbin,8,0.0548505639982912
259,Vladimir Putin,Xi Jinping,10,0.0657566980774977
261,Vladimir Putin,Emmanuel Macron,24,0.0539108128995878
263,Vladimir Putin,Jen Psaki,12,0.0264651882652133
264,Vladimir Putin,Zhao Lijian,6,0.0839444551019982
265,Vladimir Putin,Olaf Scholz,8,0.0616901112813814
283,Vladimir Putin,George W Bush,12,0.0750264182362945
321,Vladimir Putin,Hannah Ritchie,6,0.059685473029852
339,Vladimir Putin,Yulia Navalnayas,10,0.0454491923350672
341,Vladimir Putin,Alexey Navalny,74,0.0261382025996155
344,Vladimir Putin,Vladimir Ashurkov,8,0.0518912250565255
345,Vladimir Putin,Anna Chernova,32,0.0334079835787692
346,Vladimir Putin,Mikhail Khodorkovsky,6,0.026494206891961
348,Vladimir Putin,Barack Obama,12,0.0629580526871798
349,Vladimir Putin,Dmitry Medvedev,10,0.0380866291187484
351,Vladimir Putin,Laura SmithSpark,6,0.0564635908686335
353,Vladimir Putin,Mary Ilyushina,10,0.0286999577179833
355,Vladimir Putin,Boris Nemtsov,6,0.0352425551436295
357,Vladimir Putin,Olga Mikhailova,8,-0.0018097858990672
360,Vladimir Putin,Svetlana Tikhanovskaya,8,0.0169347909919406
366,Vladimir Putin,Yulia Navalnaya,10,0.0233860034964168
367,Vladimir Putin,Michelle Obama,10,0.0739890197487246
374,Vladimir Putin,Jake Sullivan,16,0.0290060519826504
379,Vladimir Putin,Kira Yarmysh,10,0.0500433737044735
380,Vladimir Putin,Frederik Pleitgen,10,0.0285538812082926
381,Vladimir Putin,Alexei Navalny,12,0.0264546518181643
385,Vladimir Putin,CNNAlexey Navalny,10,0.007909534176613
386,Vladimir Putin,Yulia Navalnya,6,0.0147077674068394
389,Vladimir Putin,Mike Pompeo,6,0.0523035930316254
391,Vladimir Putin,Charles Michel,8,0.0313566519501566
392,Vladimir Putin,Tatiana Stanovaya,6,0.0574159600259579
395,Vladimir Putin,Leonid Volkov,20,0.033331117661673
398,Vladimir Putin,Dominic Raab,6,0.0509534235173188
410,Vladimir Putin,Angela Merkel,40,0.0518713257972367
416,Vladimir Putin,Ignat Artemenko,6,-0.0197714089578899
420,Vladimir Putin,Sergei Lavrov,8,0.0480697408794435
422,Vladimir Putin,Vladimir KaraMurza,6,0.028581286490649
425,Vladimir Putin,Josep Borrell,16,0.0024071778087577
428,Vladimir Putin,Alexander Lukashenko,46,0.015675090373081
429,Vladimir Putin,Zahra Ullah,26,0.0206057025965879
430,Vladimir Putin,Antony Blinken,28,0.0246214330908213
439,Vladimir Putin,Alexey Navalnys,10,0.0591794727878553
447,Vladimir Putin,Joseph Stalin,6,-0.0033394052747122
455,Vladimir Putin,Matthew Chance,16,0.0143895173346217
466,Vladimir Putin,Sergei Skripal,6,0.0277580673212691
477,Vladimir Putin,John Sullivan,6,0.0153568341160697
480,Vladimir Putin,Sergey Sobyanin,10,0.0356850668462141
488,Vladimir Putin,Ursula von der Leyen,8,0.0234862244699869
489,Vladimir Putin,Annalena Baerbock,6,0.0487219046213138
490,Vladimir Putin,Angela Merkels,10,0.0750830608215559
493,Vladimir Putin,Jens Stoltenberg,14,0.0152497789493825
494,Vladimir Putin,Ned Price,8,0.0029237758546362
495,Vladimir Putin,Sergei Shoigu,8,0.0034454819292092
498,Vladimir Putin,Katharina Krebs,20,0.0126458505753097
504,Vladimir Putin,Donald Tusk,8,0.0782480750200745
505,Vladimir Putin,Elizabeth II,10,0.0813677721853717
506,Vladimir Putin,Irene Kasner,8,0.0782480750200745
508,Vladimir Putin,Helmut Kohl,8,0.0782480750200745
509,Vladimir Putin,Antti Rinne,8,0.0782480750200745
510,Vladimir Putin,Tedros Adhanom Ghebreyesus,8,0.0782480750200745
513,Vladimir Putin,Theresa May,10,0.065609493697825
514,Vladimir Putin,Ulrich Merkel,8,0.0782480750200745
515,Vladimir Putin,Armin Laschet,8,0.0782480750200745
516,Vladimir Putin,CNNAngela Merkel,8,0.0782480750200745
517,Vladimir Putin,Joachim Sauer,8,0.0782480750200745
519,Vladimir Putin,Horst Kasner,8,0.0782480750200745
