Name1,Name2,Co-mentions,Average Sentiment
Steve Lee,Cheng Lu,6,0.1465895172194384
Steve Lee,Grayson Brulte,6,0.1465895172194384
Cheng Lu,Grayson Brulte,6,0.1465895172194384
Callie Cox,Mychal Campos,14,0.0929191468253968
Callie Cox,Sen Sharma,14,0.0929191468253968
Callie Cox,Rahul Sen Sharma,14,0.0929191468253968
Callie Cox,Eric Winograd,14,0.0929191468253968
Mychal Campos,Sen Sharma,14,0.0929191468253968
Mychal Campos,Rahul Sen Sharma,14,0.0929191468253968
Mychal Campos,Eric Winograd,14,0.0929191468253968
Sen Sharma,Rahul Sen Sharma,14,0.0929191468253968
Sen Sharma,Eric Winograd,14,0.0929191468253968
Rahul Sen Sharma,Eric Winograd,14,0.0929191468253968
Roman Abramovich,Richard Weekes,6,0.0807330074140419
Roman Abramovich,Thomas Tuchel,5,0.1432895989068403
Roman Abramovich,Nick Candy,6,0.0936601358411703
Roman Abramovich,Boris Johnson,5,0.1168175089053385
Roman Abramovich,Vladimir Putin,5,0.0690613604786018
Roman Abramovich,Mohammed bin Salman,5,0.0846004223418857
Roman Abramovich,Kai Havertz,5,0.1253848817848817
Roman Abramovich,Amanda Davies,8,0.1659213999407129
Rishi Sunak,Boris Johnson,8,0.0664676376410384
Vladimir Putin,Donald Trump,35,0.0600961128697108
Vladimir Putin,Nick Clegg,6,-0.0436114321621726
Vladimir Putin,Sergei B. Ivanov,6,0.0653692956528008
Vladimir Putin,Sergei S. Ivanov,6,0.0653692956528008
Vladimir Putin,Paul Zimnisky,6,0.0653692956528008
Vladimir Putin,Tiffany Stevens,6,0.0653692956528008
Vladimir Putin,Martin Rapaport,6,0.0653692956528008
Vladimir Putin,Boris Johnson,15,0.0647385932317017
Vladimir Putin,"""Vladimir Putin",5,0.0777689072340235
Vladimir Putin,Kamila Valieva,5,0.0937872695513549
Vladimir Putin,Ben Church,5,0.0632652773583006
Vladimir Putin,Ben Morse,5,0.0632652773583006
Vladimir Putin,Dmitry Peskov,73,0.0185254236926434
Vladimir Putin,Amilcar Djau Codjovi,5,0.1026951058201058
Vladimir Putin,Soriebah Kajue,5,0.1026951058201058
